,修課學年,修課學期,學號_id,姓名_id,學院名稱,系所名稱,班級名稱,授課班級碼,授課班級,課號,課程編碼,課程名稱,教師員編,授課教師,課程類別,必選修別,學分數,選課狀況
112,111,1,21.0,214.0,電資學院,電機工程系,電機四丙,2529,電機三甲,304547,3103037,電力電子學,11214,歐勝源,★,選,3.0,
113,111,1,22.0,983.0,電資學院,電機工程系,電機四丙,2531,電機三丙,304580,3103011,電力系統(一),10505,張朝陽,★,選,3.0,
114,111,1,22.0,983.0,電資學院,電機工程系,電機四丙,2655,電機二甲,305170,3102082,工程數學(一),10940,曾傳蘆,▲,必,3.0,
115,111,1,23.0,392.0,電資學院,電機工程系,電機四丙,2648,博雅課程(三),309957,1418001,創新與創業,23864,黃正民,△,必,2.0,
116,111,1,23.0,392.0,電資學院,電機工程系,電機四丙,2779,電機一丙,305687,1401039,微積分及演練,12287,羅仁傑,▲,必,3.0,
117,111,1,23.0,392.0,電資學院,電機工程系,電機四丙,2655,電機二甲,305170,3102082,工程數學(一),10940,曾傳蘆,▲,必,3.0,
118,111,1,24.0,1175.0,電資學院,電機工程系,電機四丙,2646,博雅課程(一),309976,1416004,生命科學概論,23992,李立緯,△,必,2.0,
119,111,1,24.0,1175.0,電資學院,電機工程系,電機四丙,2805,資財一甲,310176,AB01026,金融常識與職業道德,24473,楊士奇,★,選,3.0,
120,111,1,24.0,1175.0,電資學院,電機工程系,電機四丙,2656,電機二乙,305183,3102082,工程數學(一),10461,陳文學,▲,必,3.0,
121,111,1,24.0,1175.0,電資學院,電機工程系,電機四丙,2529,電機三甲,304540,3103064,訊號與系統,10661,呂振森,▲,必,3.0,
122,111,1,24.0,1175.0,電資學院,電機工程系,電機四丙,2647,博雅課程(二),309979,1411002,文學概論,10375,葉惠蘭,△,必,2.0,
123,111,1,24.0,1175.0,電資學院,電機工程系,電機四丙,2779,電機一丙,305688,1401041,物理,11495,施坤龍,▲,必,3.0,
124,111,1,24.0,1175.0,電資學院,電機工程系,電機四丙,2529,電機三甲,304540,3103064,訊號與系統,10333,柯明仁,▲,必,3.0,
125,111,1,24.0,1175.0,電資學院,電機工程系,電機四丙,2657,電機二丙,305198,3102097,機率,12083,林鈞陶,▲,必,3.0,
126,111,1,25.0,1022.0,電資學院,電子工程系,電子四甲,2666,電子二甲,305329,3602012,電路學(一),11678,陳晏笙,▲,必,3.0,
127,111,1,25.0,1022.0,電資學院,電子工程系,電子四甲,2423,電子四甲,314960,3601058,實務校外實習(一),,,★,選,3.0,
128,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2434,光電四,309436,6504591,生醫光電儀器學,24413,金仕淳,★,選,3.0,撤選
129,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2423,電子四甲,314960,3601058,實務校外實習(一),,,★,選,3.0,
130,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2646,博雅課程(一),309972,1412018,台灣歷史與文化,22689,何鳳嬌,△,必,2.0,撤選
131,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2541,電子三乙,304050,3604052,計算機網路,10459,段裘慶,★,選,3.0,撤選
132,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2540,電子三甲,304050,3604052,計算機網路,10459,段裘慶,★,選,3.0,撤選
133,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2423,電子四甲,304050,3604052,計算機網路,10459,段裘慶,★,選,3.0,撤選
134,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2551,光電三,309502,6504581,光纖感測,11369,彭朋群,★,選,3.0,撤選
135,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2407,智慧感測與應用學程,309502,6504581,光纖感測,11369,彭朋群,★,選,3.0,撤選
136,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2551,光電三,309436,6504591,生醫光電儀器學,24413,金仕淳,★,選,3.0,撤選
137,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2424,電子四乙,304050,3604052,計算機網路,10459,段裘慶,★,選,3.0,撤選
138,111,1,26.0,1510.0,電資學院,電子工程系,電子四甲,2541,電子三乙,304832,3603005,通訊系統實習,10551,曾德樟,▲,必,1.0,撤選
139,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2423,電子四甲,304052,3604056,人工智慧,11130,黃育賢,★,選,3.0,
140,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2423,電子四甲,304052,3604056,人工智慧,12084,賴冠廷,★,選,3.0,
141,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2424,電子四乙,304052,3604056,人工智慧,24336,賴建宏,★,選,3.0,
142,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2540,電子三甲,309298,3604122,人體解剖學及生理學,11391,王多柏,★,選,3.0,
143,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2540,電子三甲,304052,3604056,人工智慧,12084,賴冠廷,★,選,3.0,
144,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2541,電子三乙,304052,3604056,人工智慧,24336,賴建宏,★,選,3.0,
145,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2666,電子二甲,305332,3601010,通訊工程導論,11991,陳維昌,★,選,3.0,
