CourseCode,CourseID,AcademicYear,Semester,CourseName,Period,Building,Classroom
1400100,305756,111,1,勞作教育,一：9,第三教學大樓,三教303(e)
1400102,305757,111,1,大學入門與工程倫理,"五：3, 4",化學工程館,化工305
1404006,305758,111,1,國文,"一：5, 6",第三教學大樓,三教503(e)
1401032,305760,111,1,微積分,"二：7, 8, 9",第三教學大樓,三教303(e)
1401041,305761,111,1,物理,"二：2　五：5, 6",第三教學大樓,三教209(e)
3201002,305762,111,1,化學,"四：7, 8",第三教學大樓,三教408(e)
3201003,305763,111,1,化學實習,"一：2, 3, 4",第三教學大樓,三教308(e)
3321009,305764,111,1,地質學(一),"三：N　四：3, 4",第三教學大樓,三教408(e)
1400099,305770,111,1,服務學習,四：9,第二教學大樓,二教204(e)
1401036,305774,111,1,微積分及演習,"二：1, 2　四：3, 4",第三教學大樓,三教208(e)
1101007,305806,111,1,全民國防教育,一：8,第三教學大樓,三教203(e)
1400100,305808,111,1,勞作教育,一：9,第三教學大樓,三教203(e)
1400102,305809,111,1,大學入門與工程倫理,"五：3, 4",第三教學大樓,三教307(e)
1404006,305810,111,1,國文,"一：5, 6",第六教學大樓,六教226(e)
1401032,305812,111,1,微積分,"三：7, 8　四：2",第三教學大樓,三教209(e)
3501008,305813,111,1,基礎分子物理,"三：3, 4",第三教學大樓,三教403(e)
3501011,305814,111,1,基礎分子化學實驗,"二：7, 8, 9",第三教學大樓,三教309(e)
3534060,305815,111,1,基礎分子化學,"三：9　四：3, 4",第三教學大樓,三教209(e)
3501021,305818,111,1,半導體分子材料與製程檢測,"一：3, 4",第三教學大樓,三教211(e)
1101007,305822,111,1,全民國防教育,一：3,第一教學大樓,一教302(e)
1400099,305824,111,1,服務學習,二：8,第二教學大樓,二教301(e)
1400102,305825,111,1,大學入門與工程倫理,"五：7, 8",第一教學大樓,一教302(e)
1404006,305826,111,1,國文,"四：3, 4",第二教學大樓,二教206(e)
1401032,305827,111,1,微積分,"一：2　三：3, 4",第一教學大樓,一教302(e)
1401041,305828,111,1,物理,"三：5　四：5, 6",第一教學大樓,一教301
1401043,305829,111,1,物理實驗,"三：6, 7, 8",第一教學大樓,一教301
3601005,305830,111,1,數位邏輯設計,"二：2　五：5, 6",第一教學大樓,一教1F(e)
3601009,305831,111,1,高階語言程式實習,"一：4, 5, 6",第一教學大樓,一教302(e)
3601013,305832,111,1,計算機概論,"三：1, 2　五：9",第一教學大樓,一教302(e)
1101007,305842,111,1,全民國防教育,三：2,第一教學大樓,一教301
1400099,305844,111,1,服務學習,二：8,第二教學大樓,二教304(e)
1400102,305845,111,1,大學入門與工程倫理,"五：7, 8",第一教學大樓,一教301
1404006,305846,111,1,國文,"四：3, 4",第二教學大樓,二教301(e)
1401032,305847,111,1,微積分,"一：2　三：3, 4",第一教學大樓,一教301
1401041,305848,111,1,物理,"三：5　四：5, 6",第一教學大樓,一教302(e)
1401043,305849,111,1,物理實驗,"三：6, 7, 8",第一教學大樓,一教302(e)
3601005,305850,111,1,數位邏輯設計,"一：3, 4　五：3",第一教學大樓,一教301
3601009,305851,111,1,高階語言程式實習,"五：4, 5, 6",第一教學大樓,一教301
3601013,305852,111,1,計算機概論,"二：5, 6　四：7",第一教學大樓,一教302(e)
3701020,305870,111,1,會計學,"二：A, B, C",億光大樓,億光0612
3701039,305871,111,1,工業工程與管理概論,"一：3, 4　四：5",第三教學大樓,三教201(e)
3801003,305894,111,1,設計圖學,"五：A, B, C",億光大樓,億光0612
3801004,305895,111,1,設計概論,"四：6, 7",第三教學大樓,三教401(e)
3801079,305903,111,1,攝影學,"一：5, 6, 7",第六教學大樓,六教227(e)
1404006,305914,111,1,國文,"一：3, 4",第三教學大樓,三教206(e)
1401032,305932,111,1,微積分,"二：5, 6, 7",第三教學大樓,三教409(e)
1101007,305944,111,1,全民國防教育,一：7,第二教學大樓,二教207(e)
1400099,305946,111,1,服務學習,二：8,第三教學大樓,三教301(e)
1400102,305947,111,1,大學入門與工程倫理,"五：7, 8",第三教學大樓,三教308(e)
1404006,305948,111,1,國文,"三：1, 2",第二教學大樓,二教304(e)
1401032,305950,111,1,微積分,"三：3, 4　四：3",第三教學大樓,三教211(e)
1401041,305951,111,1,物理,"二：1, 2　四：2",化學工程館,化工305
1401043,305952,111,1,物理實驗,"二：5, 6, 7",第三教學大樓,三教301(e)
4501104,305953,111,1,化學及實驗,"三：5, 6, 7",第三教學大樓,三教504(e)
4501109,305954,111,1,熱力學(一),"一：8, 9　四：6",第三教學大樓,三教208(e)
4501112,305955,111,1,程式設計(一),"五：2, 3, 4",第三教學大樓,三教308(e)
1101007,305957,111,1,全民國防教育,一：6,第二教學大樓,二教201(e)
1400099,305960,111,1,服務學習,二：9,第一教學大樓,一教301
5401203,305966,111,1,文學作品讀法,"二：2　三：5, 6",第三教學大樓,三教211(e)
5701003,305979,111,1,管理學,"二：8, 9　三：2",第三教學大樓,三教109(e)
1101007,305984,111,1,全民國防教育,一：7,第一教學大樓,一教302(e)
1400099,305986,111,1,服務學習,三：9,第一教學大樓,一教1F(e)
1400102,305987,111,1,大學入門與工程倫理,"五：7, 8",第一教學大樓,一教1F(e)
1404006,305988,111,1,國文,"五：3, 4",第一教學大樓,一教302(e)
1401032,305990,111,1,微積分,"三：1, 2　四：5",第一教學大樓,一教1F(e)
5901202,305991,111,1,計算機概論,"三：7, 8　五：9",第一教學大樓,一教1F(e)
5901207,305992,111,1,數位邏輯設計,"一：5, 6　三：5",第一教學大樓,一教1F(e)
5901209,305993,111,1,計算機程式設計(一),"一：8　二：8, 9",第一教學大樓,一教302(e)
5901212,305994,111,1,物理,"三：3　五：1, 2",第一教學大樓,一教1F(e)
1101007,305997,111,1,全民國防教育,一：8,第二教學大樓,二教201(e)
1400099,305999,111,1,服務學習,三：9,第一教學大樓,一教303(e)
1400102,306000,111,1,大學入門與工程倫理,"五：7, 8",第一教學大樓,一教303(e)
1404006,306001,111,1,國文,"五：5, 6",第一教學大樓,一教302(e)
1401032,306003,111,1,微積分,"二：2　四：3, 4",第二教學大樓,二教305(e)
1401043,306004,111,1,物理實驗,"三：6, 7, 8",第一教學大樓,一教303(e)
1401045,306005,111,1,物理,"二：5, 6　三：5",第一教學大樓,一教303(e)
6501002,306006,111,1,計算機概論,"五：2, 3, 4",第三教學大樓,三教309(e)
6503512,306007,111,1,線性代數,"一：3, 4　四：5",第二教學大樓,二教207(e)
6501006,306010,111,1,化學（一）,"一：5, 6, 7",第二教學大樓,二教103(e)
1101007,306014,111,1,全民國防教育,二：8,化學工程館,化工105
1400100,306016,111,1,勞作教育,二：9,化學工程館,化工105
1400102,306017,111,1,大學入門與工程倫理,"五：7, 8",第二教學大樓,二教301(e)
1404006,306018,111,1,國文,"三：1, 2",第二教學大樓,二教302(e)
1401032,306020,111,1,微積分,"三：3, 4　四：3",第三教學大樓,三教206(e)
1401041,306021,111,1,物理,"二：1, 2　四：2",第三教學大樓,三教206(e)
3001011,306022,111,1,靜力學,"五：3, 4",第三教學大樓,三教109(e)
3001014,306023,111,1,專業基礎實習(一),"一：7, 8, 9",第三教學大樓,三教211(e)
3001024,306024,111,1,電工原理及實驗,"一：1, 2, 3, 4",第三教學大樓,三教309(e)
3001056,306025,111,1,機電工程概論,"三：5, 6",第三教學大樓,三教203(e)
4501112,306026,111,1,程式設計(一),"二：5, 6, 7",第三教學大樓,三教109(e)
4501605,306027,111,1,工程圖學,"三：7, 8, 9",第三教學大樓,三教203(e)
1101007,306030,111,1,全民國防教育,二：8,第二教學大樓,二教201(e)
1400100,306032,111,1,勞作教育,二：9,第二教學大樓,二教201(e)
1400102,306033,111,1,大學入門與工程倫理,"五：7, 8",第三教學大樓,三教211(e)
1404006,306034,111,1,國文,"二：5, 6",第二教學大樓,二教203(e)
1401032,306036,111,1,微積分,"一：7　三：3, 4",第二教學大樓,二教201(e)
1401041,306037,111,1,物理,"三：5, 6　四：5",第二教學大樓,二教206(e)
1401043,306038,111,1,物理實驗,"四：6, 7, 8",第二教學大樓,二教206(e)
3601005,306039,111,1,數位邏輯設計,"一：5, 6　五：4",第一教學大樓,一教303(e)
3601011,306040,111,1,計算機程式語言,"二：2　三：7, 8",第二教學大樓,二教304(e)
5901202,306041,111,1,計算機概論,"三：2　四：3, 4",第二教學大樓,二教203(e)
1101007,306046,111,1,全民國防教育,二：2,第一教學大樓,一教303(e)
1400100,306048,111,1,勞作教育,一：9,第三教學大樓,三教302(e)
1400102,306049,111,1,大學入門與工程倫理,"五：3, 4",第三教學大樓,三教311(e)
1404006,306050,111,1,國文,"二：7, 8",第三教學大樓,三教403(e)
1401032,306052,111,1,微積分,"三：1, 2　四：5",化學工程館,化工105
1401041,306053,111,1,物理,"一：2　五：5, 6",化學工程館,化工203
